Club,Period_Months,Market_Value,Transfer_Fee,Appearances,Minutes_Played,Goals,Assists
Malmö FF,30,0,0,47,-,18,3
Ajax,37,0,7800000,110,7193,48,15
Juventus,23,0,16000000,92,6867,26,7
Internazionale,36,25000000,24800000,117,9712,66,29
Barcelona,13,45000000,69500000,46,3334,22,13
A.C. Milan(Loan),10,35000000,0,41,3394,21,12
A.C. Milan,12,35000000,24000000,44,3807,35,12
Paris Saint-Germain,48,37000000,21000000,180,15090,156,60
Manchester United,21,15000000,0,53,4034,29,10
LA Galaxy,21,5000000,0,58,4933,53,15
